"Months.On.Production","API","Product.per.day..normalized.Oil","Product.per.day..normalized.Gas"
1,"4212332375",795.1,937
2,"4212332375",797.7,1080.8
3,"4212332375",782.9,1018.6
4,"4212332375",800.9,1035
5,"4212332375",683.7,907.1
6,"4212332375",667.4,951.3
1,"4204132268",123.2,67
2,"4204132268",100.5,58.1
3,"4204132268",98.6,58.5
4,"4204132268",87.7,53
5,"4204132268",72.8,45
6,"4204132268",256,176.8
1,"4204132267",65.5,22.5
2,"4204132267",80.3,20
3,"4204132267",78.3,20
4,"4204132267",69.3,20
5,"4204132267",57.3,20
6,"4204132267",200.5,60.6
1,"4228333908",446.6,142.5
2,"4228333908",664.9,283.5
3,"4228333908",569.9,262.6
4,"4228333908",467.8,293.1
5,"4228333908",296,143.4
6,"4228333908",294.8,251.5
1,"4228333891",496.8,148.4
2,"4228333891",770.6,306.5
3,"4228333891",688.2,294.6
4,"4228333891",589,341.6
5,"4228333891",386.3,202
6,"4228333891",376.8,457.4
1,"4228332377",312.8,96
2,"4228332377",448.1,203.3
3,"4228332377",391.5,125.7
4,"4228332377",319,198.5
5,"4228332377",264.2,143.5
6,"4228332377",221.9,193.4
1,"4228332323",165.9,95.6
2,"4228332323",407.4,413.3
3,"4228332323",304.9,398.8
4,"4228332323",288.1,444.6
5,"4228332323",212.2,335.6
6,"4228332323",173.8,269
1,"4217733777",766.9,521.4
2,"4217733777",714.2,494.3
3,"4217733777",834.8,581.3
4,"4217733777",581.1,408.7
5,"4217733777",596.3,400.7
6,"4217733777",401.5,322.2
1,"4217733776",612.5,379.9
2,"4217733776",649,391.5
3,"4217733776",411.8,238.1
4,"4217733776",422.7,233.3
5,"4217733776",284.9,187.2
6,"4217733776",198.8,182.7
1,"4217733168",1495.7,980.3
2,"4217733168",1029.6,705.2
3,"4217733168",1240.7,485.9
4,"4217733168",906.1,313.8
5,"4217733168",796.8,343.1
6,"4217733168",763.3,366
1,"4217733167",1080.9,825
2,"4217733167",770.3,592
3,"4217733167",17.5,406.9
4,"4217733167",10.5,262
5,"4217733167",9.2,285.8
6,"4217733167",8.8,304
1,"4228533657",412.2,212
2,"4228533657",755,165.2
3,"4228533657",457.7,322.4
4,"4228533657",336.6,250.9
5,"4228533657",253.2,189.5
6,"4228533657",229.7,154
1,"4228334698",206,122.4
2,"4228334698",201.3,125.1
3,"4228334698",139.5,103.9
4,"4228334698",211.6,166.3
5,"4228334698",87.3,90.6
6,"4228334698",115.2,89.9
1,"4228334695",288.9,195.8
2,"4228334695",274.1,195.6
3,"4228334695",184.5,158.8
4,"4228334695",271.6,248.4
5,"4228334695",108.7,132.3
6,"4228334695",139.2,128.4
1,"4228334655",37.9,20
2,"4228334655",352.6,279.9
3,"4228334655",243.9,278.9
4,"4228334655",188.8,223.9
5,"4228334655",220.6,336.3
6,"4228334655",157.9,298.5
1,"4228334642",39.4,20
2,"4228334642",366.4,368.9
3,"4228334642",250.2,329.9
4,"4228334642",191.2,237.6
5,"4228334642",220.6,320.3
6,"4228334642",155.8,255.1
1,"4228333029",2,20
2,"4228333029",195.2,86.8
3,"4228333029",244,159.5
4,"4228333029",2.6,20
5,"4228333029",93.3,86.4
6,"4228333029",119,136.3
1,"4228333028",133.5,98.2
2,"4228333028",2,20
3,"4228333028",151.1,146.5
4,"4228333028",153.5,189.6
5,"4228333028",146.1,210.4
6,"4228333028",112.2,170.6
1,"4228332642",2,20
2,"4228332642",2,20
3,"4228332642",40.9,20
4,"4228332642",2,20
5,"4228332642",32.9,35.6
6,"4228332642",73.5,42.4
1,"4228332435",2,20
2,"4228332435",2,20
3,"4228332435",2,20
4,"4228332435",50.5,20
5,"4228332435",246.2,2335.5
6,"4228332435",182.7,1816.1
1,"4228334349",157.8,128
2,"4228334349",369.4,377.2
3,"4228334349",292,346.6
4,"4228334349",227.5,317.4
5,"4228334349",145.9,170.4
6,"4228334349",91.5,76.9
1,"4231135032",16.1,5568.3
2,"4231135032",9.6,4575
3,"4231135032",2.1,5021.7
4,"4231135032",2,3884.4
5,"4231135032",2,2631.5
6,"4231135032",2,1159.8
1,"4231135055",37.3,2202.1
2,"4231135055",121.3,5766.8
3,"4231135055",84.9,5310.7
4,"4231135055",57,3559.4
5,"4231135055",37.6,2543.1
6,"4231135055",34.2,2021
1,"4231135054",45.5,1064
2,"4231135054",167,3507.3
3,"4231135054",122.4,2757.7
4,"4231135054",77.8,2098.2
5,"4231135054",40.4,1110.6
6,"4231135054",30.3,855.9
1,"4231134865",196.2,3407.6
2,"4231134865",183.5,3390.8
3,"4231134865",149.3,2541.7
4,"4231134865",23.5,406.3
5,"4231134865",2,20
6,"4231134865",2,20
1,"4217732322",89.8,111.8
2,"4217732322",438.2,484.2
3,"4217732322",355.7,457.9
4,"4217732322",268.8,389
5,"4217732322",228.3,302.2
6,"4217732322",217.5,304.3
1,"4217732343",67.5,86
2,"4217732343",434.2,490.3
3,"4217732343",339.3,445.8
4,"4217732343",246.9,364.2
5,"4217732343",201.8,271.8
6,"4217732343",185,263.1
1,"4217732166",141.5,91
2,"4217732166",348.1,388.9
3,"4217732166",236.8,265.2
4,"4217732166",184.7,236.9
5,"4217732166",153.5,193.1
6,"4217732166",130,166.1
1,"4217732171",175.3,130.1
2,"4217732171",429.7,552.6
3,"4217732171",278.4,345.2
4,"4217732171",206.8,282.5
5,"4217732171",163.5,210.6
6,"4217732171",131.8,165.9
1,"4217732172",232,167.4
2,"4217732172",464.3,589.8
3,"4217732172",327.6,454.3
4,"4217732172",265,458.2
5,"4217732172",228.5,422.5
6,"4217732172",200.7,410.4
1,"4228333477",2,38.8
2,"4228333477",2,20
3,"4228333477",152.1,748.5
4,"4228333477",104.8,774.6
5,"4228333477",79.7,686.6
6,"4228333477",62,623
1,"4228333468",27.6,95.7
2,"4228333468",2,20
3,"4228333468",158.9,769
4,"4228333468",114.3,835.4
5,"4228333468",85.4,713.1
6,"4228333468",65.8,695.3
1,"4228332774",68.1,338.2
2,"4228332774",2,20
3,"4228332774",2,20
4,"4228332774",2,20
5,"4228332774",2,20
6,"4228332774",2,20
1,"4228332972",2.7,20.3
2,"4228332972",36.9,194.6
3,"4228332972",2,20
4,"4228332972",244.7,1424.8
5,"4228332972",200.5,1732.2
6,"4228332972",165.1,1427.8
1,"4228333209",2,20
2,"4228333209",19.9,103.3
3,"4228333209",2,20
4,"4228333209",151.9,976.2
5,"4228333209",77.1,895.1
6,"4228333209",49.7,745
1,"4228333112",215.7,70
2,"4228333112",329.9,167.5
3,"4228333112",275.2,296.9
4,"4228333112",256.8,409.3
5,"4228333112",221.4,441.3
6,"4228333112",186.1,493.8
1,"4228333102",2,20
2,"4228333102",2,20
3,"4228333102",372.6,162.6
4,"4228333102",335.4,212.4
5,"4228333102",251.5,220.5
6,"4228333102",231.1,231.4
1,"4228333103",323.2,135
2,"4228333103",302.7,185.6
3,"4228333103",248.5,239.4
4,"4228333103",228.1,277.5
5,"4228333103",215.5,291.4
6,"4228333103",196.2,320.1
1,"4247941554",2,20
2,"4247941554",10.8,614.5
3,"4247941554",12.7,562.1
4,"4247941554",10.3,450
5,"4247941554",8.5,413.5
6,"4247941554",7,356.1
1,"4247941658",2,20
2,"4247941658",2,129.9
3,"4247941658",2,68.7
4,"4247941658",2,28.1
5,"4247941658",2,20
6,"4247941658",2,20
1,"4247941553",2,20
2,"4247941553",2.5,48.9
3,"4247941553",2,34.9
4,"4247941553",2,65.1
5,"4247941553",2,158.4
6,"4247941553",2,259.1
1,"4225533299",298.8,176.4
2,"4225533299",534.1,360.5
3,"4225533299",570.6,477.1
4,"4225533299",552.2,538.5
5,"4225533299",525.3,547.6
6,"4225533299",462.4,490.1
1,"4225533298",264.4,224.7
2,"4225533298",588.5,556.4
3,"4225533298",654.4,681.2
4,"4225533298",658.8,712.2
5,"4225533298",651.8,670.8
6,"4225533298",596.8,556.2
1,"4225533297",589,501.6
2,"4225533297",711.9,654.5
3,"4225533297",758.3,789.1
4,"4225533297",731.7,812.5
5,"4225533297",694,753.9
6,"4225533297",609.1,615.6
1,"4225533296",432,324.5
2,"4225533296",544.7,451.4
3,"4225533296",605.8,580.8
4,"4225533296",609.8,637.7
5,"4225533296",603.4,630.9
6,"4225533296",552.5,549.3
1,"4225533295",616.2,433.6
2,"4225533295",772.2,580.7
3,"4225533295",853.4,718.9
4,"4225533295",853.8,759.9
5,"4225533295",839.5,723.7
6,"4225533295",764.1,606.6
1,"4249332599",305,126.9
2,"4249332599",358.6,181.3
3,"4249332599",288,152.7
4,"4249332599",253.1,141.3
5,"4249332599",234.9,126.6
6,"4249332599",255.3,139.1
1,"4225534860",898.6,1330.7
2,"4225534860",589,995.6
3,"4225534860",456.4,849.9
4,"4225534860",129.4,793.7
5,"4225534860",129.7,862.4
6,"4225534860",119.5,755.9
1,"4225534862",619.5,1096.3
2,"4225534862",413.4,846.9
3,"4225534862",325.9,745.3
4,"4225534862",80.5,717.4
5,"4225534862",80.7,804.5
6,"4225534862",74.3,695.1
1,"4225534864",669.9,956.5
2,"4225534864",454.5,768.1
3,"4225534864",364.1,701.3
4,"4225534864",86.3,700.5
5,"4225534864",86.5,816
6,"4225534864",79.6,735.5
1,"4225535319",983.5,1831.3
2,"4225535319",853,1714.8
3,"4225535319",565.5,1371.2
4,"4225535319",335.9,957
5,"4225535319",233.2,639.3
6,"4225535319",174.4,460.6
1,"4225535318",881.8,1643.1
2,"4225535318",789.5,1553.6
3,"4225535318",523.5,1242.4
4,"4225535318",382.4,1204.3
5,"4225535318",290.5,820.8
6,"4225535318",231.5,681.4
1,"4225533944",745.3,1116.4
2,"4225533944",873.2,1388.6
3,"4225533944",543.5,883.8
4,"4225533944",357.8,714
5,"4225533944",278.4,614.2
6,"4225533944",218.3,527.4
1,"4225534859",918,1398.5
2,"4225534859",632.9,1052.2
3,"4225534859",514.7,902.8
4,"4225534859",1091.6,847.6
5,"4225534859",900.6,926
6,"4225534859",639.1,794.7
1,"4225534861",977.1,1455
2,"4225534861",635.5,1095.3
