"API","BOE_Prod_2yr","BOE_Prod_6mon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","Surf.Lat","Surf.Lon","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft.","Total.Proppant.Volume","Total.Fluid","API.Gravity","Fluid.Type","On.Stream"
"4217733606",104073,0,3.64,0.43,25.7,0.08,161,0.25,11596,29.18631,-97.54363,2550,2516,1849.761526,1809.872814,4654000,4553640,42,"SLKW",2016-07-01
"4247943406",78846.5,0,3.8,0.57,29.6,0.083,133,0.2,7331,28.07711,-99.92971,7164,7040,2073.863636,961.3151989,14600000,6767659,64,"XLINK",2016-07-01
"4247943407",77496,0,3.8,0.57,29.6,0.083,133,0.2,7327,28.07705,-99.92971,7265,7112,1464.566929,711.9988751,10416000,5063736,59,"XLINK",2016-07-01
"4247943387",77906,0,3.84,0.59,29.5,0.084,133,0.2,7293,28.07018,-99.93337,7552,7389,2053.051834,966.5623224,15170000,7141929,56,"XLINK",2016-07-01
"4217733691",195955.5,0,2.86,0.22,24,0.064,185,0.3,11351,29.32302,-97.35655,4964,4851,2956.091528,2313.227376,14340000,11221466,43,"SLKW",2016-07-01
"4217733605",113304.5,0,3.64,0.43,25.8,0.08,161,0.25,11566,29.18648,-97.54352,2744,2672,1983.532934,1776.842066,5300000,4747722,43,"SLKW",2016-07-01
"4247943409",102068,0,3.8,0.57,29.6,0.083,133,0.2,7334,28.077,-99.9297,7305,7104,1466.216216,716.0651745,10416000,5086927,64,"XLINK",2016-07-01
"4247943169",139942.5,0,3.72,0.55,29.6,0.081,134,0.2,7326,28.08091,-99.93031,6963,6752,2474.526066,1614.660545,16708000,10902188,61,"XLINK",2016-07-01
"4217733689",156068,0,2.86,0.22,24,0.064,185,0.3,11356,29.323,-97.356,5413,5245,2872.449952,2604.590658,15066000,13661078,43,"SLKW",2016-07-01
"4247943192",172700,0,3.84,0.59,29.4,0.084,133,0.2,7303,28.07011,-99.93334,7589,7351,2408.651884,1434.267175,17706000,10543298,59,"XLINK",2016-07-01
"4217733592",286598.5,0,3.6,0.42,26,0.08,160,0.25,11481,29.18723,-97.55211,5075,4915,2140.793489,1878.942421,10522000,9235002,45,"SLKW",2016-07-01
"4247943411",73244,0,3.72,0.55,29.6,0.081,134,0.2,7337,28.08114,-99.93031,6997,6773,1479.698804,744.2929278,10022000,5041096,58,"XLINK",2016-07-01
"4231136581",201656.5,0,2.78,0.21,29.9,0.064,117,0.25,10386,28.64255,-98.43085,7196,6960,1514.08046,1436.858621,10538000,10000536,39,"XLINK",2016-07-01
"4247943385",77383,0,3.84,0.59,29.4,0.084,133,0.2,7295,28.07013,-99.9334,7617,7367,1466.268495,739.341523,10802000,5446729,58,"XLINK",2016-07-01
"4247943195",146937,0,3.8,0.58,29.6,0.083,133,0.2,7330,28.07711,-99.92965,6965,6736,2443.289786,1479.161223,16458000,9963630,61,"XLINK",2016-07-01
"4247943416",81734,0,3.83,0.58,29.5,0.083,133,0.2,7304,28.0676,-99.93534,7670,7408,1461.663067,728.488121,10828000,5396640,56,"XLINK",2016-07-01
"4231136579",181467.5,0,2.78,0.21,29.9,0.064,117,0.25,10404,28.64256,-98.43076,6663,6433,1592.414115,1550.520131,10244000,9974496,40.20000076,"XLINK",2016-07-01
"4231136580",164458.5,0,2.78,0.21,29.9,0.064,117,0.25,10397,28.64255,-98.4308,6925,6677,1589.9356,1519.743298,10616000,10147326,39.59999847,"XLINK",2016-07-01
"4247943412",77791.5,0,3.72,0.55,29.6,0.081,134,0.2,7343,28.08108,-99.93031,7096,6804,1458.847737,762.1992945,9926000,5186004,56,"XLINK",2016-07-01
"4247943188",163406.5,0,3.84,0.59,29.4,0.084,133,0.2,7301,28.07006,-99.93337,7742,7423,2436.75064,1585.478378,18088000,11769006,63,"XLINK",2016-07-01
"4247943382",87246.5,0,3.7,0.54,29.6,0.08,135,0.2,7347,28.08412,-99.93111,6969,6669,1508.472035,771.5368121,10060000,5145379,55,"XLINK",2016-07-01
"4225534815",342782.5,0,3.23,0.44,30.6,0.072,110,0.24,11889,28.92789,-97.87922,6700,6402,2807.560137,2744.06248,17974000,17567488,42.59999847,"GEL",2016-07-01
"4225534975",1098900.5,0,3.68,0.49,26.2,0.081,144,0.27,11009,29.05147,-97.76846,5062,4831,3028.772511,2246.282757,14632000,10851792,43,"SLKW",2016-07-01
"4247943389",69876,0,3.7,0.54,29.6,0.08,135,0.2,7332,28.08396,-99.93111,7029,6700,2003.58209,969.8749254,13424000,6498162,55,"XLINK",2016-07-01
"4247943196",136140,0,3.8,0.58,29.6,0.083,133,0.2,7344,28.07705,-99.92965,7053,6718,2488.538255,1357.558351,16718000,9120077,63,"XLINK",2016-07-01
"4247943170",132640,0,3.72,0.55,29.6,0.081,134,0.2,7340,28.08086,-99.93031,6954,6621,2520.465187,1523.087751,16688000,10084364,61,"XLINK",2016-07-01
"4247943384",89177,0,3.7,0.54,29.6,0.08,135,0.2,7322,28.08401,-99.93111,6771,6431,1500.233245,724.1172446,9648000,4656798,56,"XLINK",2016-07-01
"4216333985",87683.5,0,3.11,0.3,28.3,0.07,102,0.25,8301,28.66727,-98.83035,4867,4612,1562.879445,1485.062446,7208000,6849108,34.40000153,"XLINK",2016-07-01
"4247943171",86868,0,3.72,0.55,29.6,0.081,134,0.2,7328,28.08097,-99.93031,7030,6660,2515.915916,1499.998498,16756000,9989990,60,"XLINK",2016-07-01
"4247943413",52807,0,3.72,0.55,29.6,0.081,134,0.2,7345,28.08103,-99.93031,7018,6647,1505.641643,747.883406,10008000,4971181,56,"XLINK",2016-07-01
"4231136575",306734,0,2.75,0.2,30.8,0.062,133,0.24,10380,28.50958,-98.66308,6172,5822,2540.364136,2019.982137,14790000,11760336,39,"SLKW",2016-07-01
"4225534715",264179.5,0,3.16,0.42,30.8,0.071,107,0.24,11918,28.92452,-97.88437,4866,4573,1645.309425,2043.293462,7524000,9343981,42.79999924,"GEL",2016-07-01
"4228335599",143626.5,81406,3.29,0.43,27.9,0.073,122,0.25,9134,28.47091,-99.11092,8907,8351,1545.204167,1544.258173,12904000,12896100,42.5,"XLINK",2016-07-01
"4212334072",353559,0,3.74,0.43,22.5,0.082,150,0.28,12851,29.13496,-97.49631,4676,4384,1968.521898,1513.203011,8630000,6633882,66,"XLINK",2016-07-01
"4228335727",115069,0,2.97,0.31,28.4,0.065,108,0.29,7824,28.6186,-99.17266,7343,6879,1601.104812,1526.195377,11014000,10498698,36.90000153,"XLINK",2016-07-01
"4216333986",84471.5,0,3.11,0.3,28.3,0.07,102,0.25,8296,28.66724,-98.83037,4881,4566,1580.814717,1509.286465,7218000,6891402,33.79999924,"XLINK",2016-07-01
"4231136569",220100,0,2.75,0.2,30.8,0.062,133,0.24,10384,28.50953,-98.66317,5966,5577,2532.544379,2025.306437,14124000,11295134,39,"SLKW",2016-07-01
"4228335728",118959,0,2.97,0.31,28.4,0.065,108,0.29,7824,28.61858,-99.17261,7325,6840,1527.777778,1563.689474,10450000,10695636,36.29999924,"XLINK",2016-07-01
"4228335242",130528,0,3.21,0.38,26.3,0.071,110,0.3,7659,28.48308,-99.34376,6642,6177,1597.539259,1529.236523,9868000,9446094,41.70000076,"XLINK",2016-07-01
"4212736522",118209,0,4.42,0.72,25.3,0.095,166,0.22,6976,28.25398,-99.90964,6166,5734,985.3505406,572.3763516,5650000,3282006,53.09999847,"XLINK",2016-07-01
"4231136582",234000.5,0,2.78,0.21,29.9,0.064,117,0.25,10390,28.64255,-98.4309,7499,6918,1547.846198,1520.730269,10708000,10520412,40.09999847,"XLINK",2016-07-01
"4228335145",210147.5,0,3.76,0.51,28.5,0.082,139,0.2,9976,28.29625,-99.12348,7148,6580,1493.617021,1044.01231,9828000,6869601,53.59999847,"XLINK",2016-07-01
"4231136267",162376,0,3.07,0.29,27.9,0.069,126,0.25,10583,28.59496,-98.42652,8945,8184,1330.156403,752.8631476,10886000,6161432,43.90000153,"XLINK",2016-07-01
"4212334073",358228,0,3.74,0.43,22.5,0.082,150,0.28,12872,29.13528,-97.49681,4214,3837,1930.675007,1556.43706,7408000,5972049,57,"XLINK",2016-07-01
"4212334071",362782.5,0,3.74,0.43,22.5,0.082,150,0.28,12865,29.13492,-97.49626,4647,4226,1984.382395,1525.099385,8386000,6445070,65,"XLINK",2016-07-01
"4231136278",163596,0,2.98,0.27,28.2,0.067,126,0.25,10548,28.59276,-98.43131,5733,5190,1297.880539,835.5520231,6736000,4336515,41.70000076,"XLINK",2016-07-01
"4247943528",239846.5,0,4.71,0.87,28.2,0.101,61,0.16,8985,28.07096,-99.67019,6279,5678,1777.73864,851.1356111,10094000,4832748,68,"XLINK",2016-07-01
